columns,chn_column_names,eng_column_names,table_names
coid,股票代碼,,fin_self_acc
mdate,財報年月,,fin_self_acc
key3,,,fin_self_acc
no,,,fin_self_acc
sem,,,fin_self_acc
fin_type,,,fin_self_acc
curr,,,fin_self_acc
annd,,,fin_self_acc
fin_ind,,,fin_self_acc
ip12,營業總收入,Total_Operating_Income,fin_self_acc
gm,毛利,Gross_Profit_Loss_from_Operations,fin_self_acc
isoi,營業利潤,Operating_Profit,fin_self_acc
isibt,利潤總額,Profit_Before_Tax,fin_self_acc
isni,淨利潤,Net_Income_Loss,fin_self_acc
isnip,母公司淨利,Net_Income_Attributable_to_Parent,fin_self_acc
r306,每股稅前淨益,Pre_Tax_Income_Per_Share,fin_self_acc
eps,母公司每股盈餘,Basic_Earnings_Per_Share,fin_self_acc
r105,營業毛利率,Gross_Margin_Rate_percent,fin_self_acc
r106,營業利益率,Operating_Income_Rate_percent,fin_self_acc
r107,稅前淨利率,Pre_Tax_Income_Rate_percent,fin_self_acc
r108,稅後淨利率,Net_Income_Rate_percent,fin_self_acc
r401,營收成長率,Sales_Growth_Rate,fin_self_acc
r402,營業毛利成長率,Gross_Margin_Growth_Rate,fin_self_acc
r403,營業利益成長率,Operating_Income_Growth_Rate,fin_self_acc
r404,稅前淨利成長率,Pre_Tax_Income_Growth_Rate,fin_self_acc
r405,稅後淨利成長率,Net_Income_Growth_Rate,fin_self_acc
coid,,,fin_board_select
mdate,,,fin_board_select
key3,,,fin_board_select
no,,,fin_board_select
sem,,,fin_board_select
fin_type,,,fin_board_select
curr,,,fin_board_select
annd,,,fin_board_select
fin_ind,,,fin_board_select
ip12,營業總收入,Total_Operating_Income,fin_board_select
gm,毛利,Gross_Profit_Loss_from_Operations,fin_board_select
isoi,營業利潤,Operating_Profit,fin_board_select
isibt,利潤總額,Profit_Before_Tax,fin_board_select
isni,淨利潤,Net_Income_Loss,fin_board_select
isnip,母公司淨利,Net_Income_Attributable_to_Parent,fin_board_select
r306,每股稅前淨益,Pre_Tax_Income_Per_Share,fin_board_select
eps,母公司每股盈餘,Basic_Earnings_Per_Share,fin_board_select
r105,營業毛利率,Gross_Margin_Rate_percent,fin_board_select
r106,營業利益率,Operating_Income_Rate_percent,fin_board_select
r107,稅前淨利率,Pre_Tax_Income_Rate_percent,fin_board_select
r108,稅後淨利率,Net_Income_Rate_percent,fin_board_select
r401,營收成長率,Sales_Growth_Rate,fin_board_select
r402,營業毛利成長率,Gross_Margin_Growth_Rate,fin_board_select
r403,營業利益成長率,Operating_Income_Growth_Rate,fin_board_select
r404,稅前淨利成長率,Pre_Tax_Income_Growth_Rate,fin_board_select
r405,稅後淨利成長率,Net_Income_Growth_Rate,fin_board_select
coid,股票代碼,,stk_price
mdate,日期,,stk_price
mkt,市場別,,stk_price
open_d,開盤價,,stk_price
high_d,最高價,,stk_price
low_d,最低價,,stk_price
close_d,收盤價,,stk_price
adjfac,調整係數,,stk_price
vol,成交量_千股,,stk_price
amt,成交金額_元,,stk_price
trn,成交筆數,,stk_price
bid,最後揭示買價,,stk_price
offer,最後揭示賣價,,stk_price
avgprc,當日均價,,stk_price
roi,報酬率,,stk_price
hmlpct,高低價差,,stk_price
turnover,周轉率,,stk_price
shares,流通在外股數_千股,,stk_price
mktcap,個股市值_元,,stk_price
mktcap_pct,市值比重,,stk_price
amt_pct,成交金額比重,,stk_price
per,本益比,,stk_price
pbr,股價淨值比,,stk_price
div_yid,股利殖利率,,stk_price
cdiv_yid,現金股利率,,stk_price
coid,公司代碼,,month_sales
mdate,日期,,month_sales
annd_s,市值比重,,month_sales
d0001,單月營收_千元,,month_sales
d0002,去年單月營收_千元,,month_sales
d0003,單月營收成長率％,,month_sales
d0004,單月營收與上月比％,,month_sales
d0005,累計營收_千元,,month_sales
d0006,去年累計營收_千元,,month_sales
d0007,累計營收成長率％,,month_sales
a4maxh,歷史最高單月營收_千元,,month_sales
a4maxd,歷史最高單月營收_年月,,month_sales
a4max_pct,與歷史最高單月營收比%,,month_sales
a4minh,歷史最低單月營收_千元,,month_sales
a4mind,歷史最低單月營收_年月,,month_sales
